,,,birth,hght,wght,,clothes,air rifle,hand,sight raise,glove,3p,hand,sight raise,glove,breaches of rules,
Adela SYKOROVA,CZE,F,1987,170,55,p,Kurt Thune,,,,,Anschutz alu,palm,med,hard or kangaroo,,1
Alexis G MARTINEZ,MEX,F,1991,161,52,p,Kurt Thune,,,,,Walter anatomic,palm,med,half hard,,1
Amy SOWASH,USA,F,1984,,,p,,,,,,Anschutz (2313?),palm bent,high,soft?,,1
Andrea ARSOVIC,SRB,F,1985,165,60,f,Kurt Thune,FWB 800X,fist,low,half hard,,,,,,1
Anna ZHUKOVA,RUS,F,1993,,63,f,Sauer,W LG300,fist,low,hard,,,,,,1
Anzela VORONOVA,EST,F,1968,170,65,f,Kurt Thune,,,,,Anschutz (2313?),fist turned,low,hard,,1
Ayonika PAUL,IND,F,1992,,80,p,?,W anaomic,palm,high,soft,,,,,,1
Barbara ENGLEDER,GER,F,1982,162,68,f,?,FWB 800X,fist low,high,hard,,,,,2014 in Munic cap touches rear sight,1
Bei DU,CHN,F,1991,,,p,korean,FWB 700,palm,med,soft,,,,,,1
Bernhard PICKL,AUT,M,1991,183,73,p,?,,,,,Anschutz alu,palm bent,high,half hard,,1
Bin Bin ZHANG,CHN,F,1989,,,p,korean,FWB 700,palm ,med,soft,,,,,,1
Cheng CHENG,CHN,F,1986,,,f,korean,A 8002,fist,med,hard,,,,,,1
Daniel BRODMEIER,GER,M,1987,179,,p,Sauer,FWB 800X,palm turned,high,kangaroo,Bleiker,palm bent,high,kangaroo,,1
Denis SOKOLOV,RUS,M,1983,168,55,p,Kurt Thune,Steyer,palm bent,med,hard,,,,,,1
Dongqi CHEN,CHN,F,1988,,,p,korean,,,,,Anschutz (2313?),palm bent,high,soft,,1
Eva FRIEDEL,GER,F,1984,165,62,f,Sauer,,,,,Walter anatomic,fist,low,hard,,1
Fedor VLASOV,RUS,M,1984,,90,p,korean,,,,,Bleiker,palm bent,low,kangaroo,,1
Haoran YANG,CHN,M,1996,,,p,?,FWB 700,palm,high,kangaroo,,,,,,1
Hongwei KANG,CHN,M,1988,,,f,korean,,,,,Anschutz (2313?),fist,med,hard,,1
Hossein BAGHERI,IRI,M,1982,176,71,f,korean,FWB 700,fist,low,soft,,,,,,1
Huixin ZHAO,CHN,F,1989,,,f,korean,,,,,Anschutz (2313?),fist,low,hard,,1
Illia CHARHEIKA,BLR,M,1993,178,100,f,,W anatomic,fist,med,hard,,,,,,1
Ivana MAKSIMOVIC,SRB,F,1990,163,50,p,Sauer,W anaomic,palm,med,kangaroo,,,,,,1
Jasmin MISCHLER,SUI,F,1992,169,,p,Kurt Thune,A,palm,med,soft,Bleiker,,,,,1
Jennifer MCINTOSH,GBR,F,1991,174,75,p,,,,,,Bleiker? ,palm turned,med,hard,,1
Jing CHANG,CHN,F,1987,,,f,korean,FWB 700,fist,med,hard,Anschutz alu,fist,low,hard,,1
Jinseop HAN,KOR,M,1981,173,70,f,korean,,,,,Bleiker wood,fist,med,hard,,1
Katerina EMMONS,CZE,F,1983,167,54,v,?,?,V,med,hard,,,,,,1
Laurence BRIZE,FRA,F,1976,158,52,f,Kurt Thune,,,,,Bleiker,fist,med,hard,,1
Lisa UNGERANK,AUT,F,1992,163,,p,Kurt Thune,F 800X,palm bent,low,soft?,,,,,,1
Liuxi WU,CHN,F,1984,164,57,f,?,FWB 700,fist,med,hard,,,,,,1
Malin WESTERHEIM,NOR,F,1993,180,,p,Kurt Thune,FWB 800X,palm bent,high,kangaroo,,,,,,1
Martina Lindsay VELOSO,SIN,F,1999,156,55,p,korean,FWB 700,palm turned,high,hard,,,,,,1
Matthew EMMONS,USA,M,1981,178,80,p,?,,,,,Bleiker,palm bent,low,hard,,1
Michael JANKER,GER,M,1992,181,77,p,Kurt Thune,W LG300,palm bent,high,hard,,,,,,1
Milutin STEFANOVIC,SRB,M,1985,182,75,p,Sauer?,W anatomic,palm,high,soft,,,,,,1
Mira JEONG,KOR,F,1987,171,54,f,?,,,,,Walter anatomic red??,fist,med,hard,,1
Narantuya CHULUUNBADRAKH,MGL,F,1985,160,68,p,korean,,,,,Walter KK 300,palm,med,soft thin,,1
Natallia KALNYSH,UKR,F,1974,168,65,f,Mouche,,,,,Walter KK 300,fist,low,hard,,1
Nazar LOUGINETS,RUS,M,1987,181,70,p,Kurt Thune,W anatomic,palm bent,med,soft,Walter KK 300,palm bent,med,soft,,1
Niccolo CAMPRIANI,ITA,M,1987,177,74,p,Kurt Thune,Paradini,palm,med,soft,Bleiker light,palm,med,soft,,1
Nikola MAZUROVA,CZE,F,1994,,,f,Hitex,,,,,Bleiker,fist,med,hard,,1
Nur Suryani MOHD TAIBI,MAS,F,1982,168,83,f,korean,FWB 700,fist,low,soft,Anschutz (2313?),fist,high,soft,,1
Ole Kristian BRYHN,NOR,M,1989,189,87,p,?,,,,,Bleiker,palm bent,med,soft?,,1
Ole Magnus BAKKEN,NOR,M,1988,193,108,p,?,A 9003,palm bent,med,half hard,Bleiker,,,,,1
Pascal LORETAN,SUI,M,1989,167,58,p,?,A (9)003,palm turned,high,soft,,,,,,1
Peter SIDI,HUN,M,1978,180,82,f,?,W LG300,fist,med,soft,,,,,,1
Petra LUSTENBERGER,SUI,F,1990,,,f,Sauer,,,,,Bleiker,fist,high,hard,,1
Petra ZUBLASING,ITA,F,1989,165,54,v,Kusterman,,,,,Bleiker in Walter frame,V,low,soft,,1
Qinan ZHU,CHN,M,1984,180,66,f,korean,FWB 700,fist,low,hard,Anschutz (2313?),fist,low,hard,,1
Sabrina SENA,ITA,F,1985,157,58,f,Kurt Thune,,,,,Bleiker,fist,med,soft/hard,,1
